Data,Pattern,Order,Call Count,Enumerate time (seconds)
human,query_dense_8_14,ORBIT,1276363139,860.61633826
human,query_sparse_16_82,VF2++,18240,0.00057977
human,query_sparse_20_120,DPiso,0,9.34e-06
human,query_sparse_8_164,GraphQL,2240132893,1022.96625555
human,query_dense_4_129,TurboISO,274876,0.84812206
human,query_dense_16_10,DPiso,28720852,1.42256416
human,query_sparse_8_45,GraphQL,0,8.22e-06
human,query_sparse_8_68,TurboISO,3735765401,1300.30214979
human,query_dense_8_115,TurboISO,17873426942,1443.96275054
human,query_dense_8_116,DPiso,1943621,0.72406817
human,query_dense_4_175,DPiso,1122031,5.58899404
human,query_sparse_8_195,DPiso,3186748965,211.29047302
human,query_dense_8_158,TurboISO,3624371,1.21371472
human,query_dense_4_59,GraphQL,310,0.00139328
human,query_dense_8_124,VF2++,1155260,0.53690795
human,query_dense_4_124,ORBIT,495765,0.97848805
human,query_dense_4_150,GraphQL,484027,0.92731946
human,query_dense_4_68,ORBIT,484386,2.44182501
human,query_sparse_8_67,TurboISO,29983196,11.23508761
human,query_dense_4_22,DPiso,14023,0.00326031
human,query_dense_8_173,DPiso,708805883,369.03862522
human,query_sparse_8_175,VF2++,730653513,265.94232588
human,query_dense_4_153,ORBIT,207522,1.14128764
human,query_dense_4_120,ORBIT,19442,0.00251481
human,query_dense_4_53,DPiso,120472,0.67049862
human,query_dense_8_124,TurboISO,1155260,0.5658527
human,query_sparse_20_156,GraphQL,0,9.54e-06
human,query_sparse_8_160,GraphQL,8569559,1.99718506
human,query_dense_16_182,DPiso,326200627,21.38222612
human,query_dense_4_183,VF2++,231,0.00010104
human,query_dense_4_172,TurboISO,101390,0.30718136
human,query_sparse_8_15,VF2++,117085399,5.60650349
human,query_dense_4_22,TurboISO,14023,0.00292147
human,query_dense_4_127,DPiso,211206,1.10725877
human,query_sparse_20_21,ORBIT,0,1.381e-05
human,query_sparse_8_144,ORBIT,213649029,10.92421494
human,query_dense_8_94,ORBIT,294663440,116.23165146
human,query_sparse_20_177,VF2++,0,8.26e-06
human,query_dense_4_188,GraphQL,56195,0.11119903
human,query_sparse_20_172,VF2++,0,8.21e-06
human,query_dense_4_6,DPiso,66581,0.21913316
human,query_dense_4_137,TurboISO,120472,0.65672815
human,query_dense_12_50,ORBIT,427563,0.03931092
human,query_dense_4_48,VF2++,35858,0.0531697
human,query_sparse_8_92,TurboISO,324953,0.06361938
human,query_dense_4_167,GraphQL,207524,0.11400139
human,query_dense_4_46,TurboISO,5603,0.0245817
human,query_sparse_20_172,GraphQL,0,9.15e-06
human,query_dense_8_46,VF2++,1102805050,782.43665714
human,query_sparse_8_12,TurboISO,50949085688,1701.94739504
human,query_dense_4_61,ORBIT,20609,0.09053196
human,query_dense_8_108,GraphQL,2589882,1.37299908
human,query_sparse_8_14,VF2++,771859826,189.11334223
human,query_dense_4_23,GraphQL,4741,0.00055667
human,query_dense_8_198,DPiso,37370,0.01818373
human,query_dense_8_172,ORBIT,13462588,7.28296358
human,query_sparse_16_155,VF2++,82253,0.0025404
human,query_dense_8_197,ORBIT,6459,0.0005128
human,query_sparse_8_132,TurboISO,228513876,29.736684
human,query_dense_8_15,TurboISO,101515678,360.75736084
human,query_dense_4_163,GraphQL,5123,0.01989638
human,query_sparse_12_21,TurboISO,2248050405,649.89986201
human,query_dense_8_93,DPiso,96611994,568.28212503
human,query_dense_16_82,VF2++,1630784,0.07454623
human,query_sparse_8_54,GraphQL,227158800,115.64236354
human,query_dense_4_74,DPiso,13000,0.06042739
human,query_dense_4_117,TurboISO,35858,0.1577936
human,query_dense_4_9,VF2++,2361,0.01194729
human,query_dense_4_197,GraphQL,1276,0.00181035
human,query_dense_12_146,GraphQL,89598414,4.82760158
human,query_dense_4_51,GraphQL,27501,0.17860836
human,query_dense_8_174,DPiso,22754,0.005904
human,query_dense_4_135,TurboISO,8795,0.01079646
human,query_dense_8_121,VF2++,99061754,339.25328071
human,query_dense_4_133,DPiso,119296,0.13627138
human,query_sparse_8_67,GraphQL,26966240,10.66758287
human,query_dense_8_87,GraphQL,357634016,1185.01917692
human,query_sparse_8_27,DPiso,744294456,64.5595837
human,query_dense_4_44,VF2++,120472,0.67086222
human,query_dense_4_41,GraphQL,41277,0.07972942
human,query_sparse_8_55,VF2++,440881228,283.73478855
human,query_dense_16_32,TurboISO,444508054,266.85155041
human,query_sparse_8_109,ORBIT,34405804,6.26447069
human,query_sparse_8_4,TurboISO,34480827,11.76759889
human,query_sparse_8_21,DPiso,831777268,334.08003368
human,query_sparse_8_23,TurboISO,113133152,18.68028199
human,query_dense_4_190,VF2++,21835,0.03254415
human,query_dense_4_105,VF2++,484386,2.54741493
human,query_dense_4_173,GraphQL,274876,0.86055335
human,query_dense_4_91,ORBIT,8594,0.00102744
human,query_sparse_12_170,GraphQL,0,8.5e-06
human,query_dense_4_151,DPiso,7616,0.00063584
human,query_dense_4_10,TurboISO,107264,0.07170845
human,query_sparse_8_95,VF2++,519236,0.17880197
human,query_dense_16_6,DPiso,42803521,1.97453987
human,query_sparse_12_59,DPiso,0,8.06e-06
human,query_dense_4_17,TurboISO,3344,0.00122665
human,query_dense_4_107,VF2++,487566,2.45212671
human,query_sparse_8_180,GraphQL,57277681,15.25276179
human,query_sparse_8_179,VF2++,6628199806,1110.03922963
human,query_dense_4_32,ORBIT,4659,0.01803887
human,query_dense_4_16,DPiso,63599,0.02004997
human,query_dense_16_107,VF2++,2419324,0.1688412
human,query_dense_16_68,TurboISO,35580732,1.66497998
human,query_dense_4_125,VF2++,52965,0.24566671
human,query_dense_4_139,DPiso,101297,0.12166041
human,query_dense_4_23,DPiso,17977,0.00085136
human,query_sparse_8_77,ORBIT,2756416685,960.87150624
human,query_sparse_12_50,TurboISO,5806164,0.48771803
human,query_dense_8_92,GraphQL,363376,0.32861874
human,query_dense_8_90,DPiso,146044202,139.31230438
human,query_dense_4_81,GraphQL,119296,0.13956485
human,query_dense_4_150,VF2++,484066,1.44658312
human,query_dense_4_37,ORBIT,86132,0.43738399
human,query_dense_4_49,VF2++,3344,0.00702238
human,query_sparse_16_32,GraphQL,9,1.058e-05
human,query_sparse_12_131,VF2++,36046217,1.33702399
human,query_sparse_16_10,DPiso,1034888273,26.69584649
human,query_sparse_8_76,ORBIT,0,8.08e-06
human,query_sparse_12_85,TurboISO,0,8.63e-06
human,query_sparse_8_93,TurboISO,276917900,249.99003266
human,query_dense_8_72,ORBIT,89056,0.00723627
human,query_dense_4_170,ORBIT,101390,0.28777525
human,query_dense_4_119,DPiso,1116295,0.58444202
human,query_dense_4_10,ORBIT,107264,0.10715584
human,query_dense_16_181,TurboISO,596086680,848.81517165
human,query_dense_4_198,GraphQL,487566,2.81014407
human,query_sparse_12_33,TurboISO,28495706,1.19601391
human,query_dense_8_139,ORBIT,2789701446,917.31300685
human,query_dense_12_21,VF2++,189504429,42.6374098
human,query_dense_8_58,DPiso,1572729966,911.43334646
human,query_dense_4_42,TurboISO,207522,1.11653685
human,query_dense_4_102,ORBIT,20808,0.0282375
human,query_dense_12_24,TurboISO,2159030,1.52718487
human,query_dense_16_6,VF2++,34369921,1.70371085
human,query_dense_8_58,TurboISO,1688179258,928.7298332
human,query_dense_4_139,TurboISO,42537,0.13348416
