1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,pattern,data
0,43,1398,4,13,1422,97,305,2086,7,12,400,391,552,0,query_sparse_8_56,dblp
0,881,5733,36,186,5848,1591,394,1750,1231,54,363,852,949,69,query_sparse_32_136,dblp
0,337,1986,186,68,2034,140,143,0,584,122,841,816,1243,858,query_dense_32_100,dblp
0,265,1080,64,85,1085,159,145,0,301,104,1078,1466,752,115,query_dense_24_22,dblp
0,281,2123,158,29,2175,0,0,0,623,100,703,932,664,802,query_dense_24_161,dblp
0,131,822,55,7,850,0,0,0,262,63,347,0,0,237,query_dense_16_198,dblp
0,113,111,18,17,111,0,0,0,273,31,112,0,0,83,query_dense_8_136,dblp
0,512,1371,80,225,1396,481,309,1458,701,178,1087,2938,614,223,query_dense_32_36,dblp
0,298,6303,54,170,6421,891,1157,6882,110,52,404,543,535,112,query_sparse_32_199,dblp
0,602,3580,17,395,3639,1679,2320,5927,338,65,917,456,418,0,query_sparse_32_8,dblp
0,981,742,6,527,760,2082,658,1606,622,37,505,127,160,0,query_sparse_16_47,dblp
0,656,2711,6,271,2789,1465,632,2148,390,22,236,546,685,0,query_sparse_16_91,dblp
0,0,0,27,0,0,0,0,0,0,0,0,0,0,76,query_dense_4_136,dblp
0,106,707,36,52,722,153,276,0,128,9,166,1001,315,73,query_dense_8_57,dblp
0,0,0,29,0,0,0,0,0,0,0,0,0,0,83,query_dense_4_150,dblp
0,275,487,44,145,503,206,3,0,550,78,43,1387,359,276,query_dense_16_93,dblp
0,324,1709,28,88,1763,698,769,1786,236,38,355,1037,408,50,query_sparse_16_73,dblp
0,2,96,21,6,92,0,0,0,2,9,96,0,0,76,query_dense_8_196,dblp
0,333,4656,49,87,4781,650,474,3451,205,36,422,1084,1240,70,query_sparse_24_133,dblp
0,226,3059,60,116,3121,137,63,0,263,80,312,1047,366,394,query_dense_32_43,dblp
0,32,177,17,0,0,0,0,0,75,27,179,0,0,0,query_dense_4_16,dblp
0,25,958,23,7,966,0,0,0,9,5,365,845,1019,0,query_sparse_8_170,dblp
0,69,1359,7,17,1376,63,100,3588,75,33,295,158,277,0,query_sparse_8_13,dblp
0,0,0,26,0,0,0,0,0,0,0,0,0,0,71,query_dense_4_192,dblp
0,324,1784,28,93,1689,709,595,3015,125,88,447,750,542,0,query_sparse_16_38,dblp
0,120,1739,93,30,1814,0,0,0,345,26,215,335,72,541,query_dense_16_141,dblp
0,142,46,44,0,0,175,86,0,118,15,46,1282,108,136,query_dense_8_188,dblp
0,273,2414,100,106,2495,110,95,0,434,147,887,491,274,446,query_dense_32_145,dblp
0,361,6360,16,71,6295,834,1316,6717,217,50,1249,664,625,0,query_sparse_32_138,dblp
0,820,5036,4,439,5182,1503,740,5771,948,8,361,286,292,10,query_sparse_24_3,dblp
0,276,734,59,36,738,227,17,0,448,97,468,782,653,89,query_dense_16_166,dblp
0,266,322,26,46,323,570,232,0,317,91,140,840,549,0,query_sparse_8_133,dblp
0,756,4012,23,335,4114,1687,1454,2473,517,68,735,885,1151,0,query_sparse_32_50,dblp
0,327,1919,96,69,1981,240,144,0,540,149,484,1433,533,539,query_dense_32_117,dblp
0,423,2896,76,191,2969,351,142,0,716,77,704,934,766,159,query_dense_32_14,dblp
0,179,1915,63,27,1963,0,0,0,327,121,331,0,0,310,query_dense_16_136,dblp
0,139,2890,23,56,2769,485,798,5577,40,6,511,244,323,45,query_sparse_16_124,dblp
0,169,776,7,124,775,560,416,1776,82,9,317,340,714,0,query_sparse_8_53,dblp
0,124,1250,56,30,1278,27,85,0,145,100,745,211,273,216,query_dense_24_145,dblp
0,303,1516,85,71,1600,83,59,0,672,88,487,524,173,473,query_dense_32_156,dblp
0,125,551,27,57,366,203,16,0,140,66,187,935,631,0,query_sparse_8_140,dblp
0,293,858,104,65,721,389,257,0,413,127,163,1680,602,412,query_dense_24_111,dblp
0,271,1781,91,92,1666,286,138,0,286,158,1165,1464,647,211,query_dense_32_39,dblp
0,106,656,45,62,614,168,71,0,165,17,114,689,191,179,query_dense_8_113,dblp
0,80,1809,57,22,1857,0,0,0,84,47,398,398,631,191,query_dense_16_66,dblp
0,71,187,18,40,187,0,0,0,139,37,191,0,0,43,query_dense_8_25,dblp
0,381,4139,12,175,4153,1320,1216,6708,86,22,385,575,1069,0,query_sparse_32_117,dblp
0,109,487,65,0,496,0,0,0,190,68,229,590,545,285,query_dense_16_106,dblp
0,911,3135,44,205,3229,1663,574,0,548,92,639,2597,1243,26,query_sparse_32_91,dblp
0,548,2748,12,461,2808,1256,650,2881,313,58,629,1191,177,0,query_sparse_24_123,dblp
0,42,1162,12,5,1183,0,0,0,41,1,194,490,206,23,query_sparse_8_187,dblp
0,36,99,13,0,0,0,0,0,79,32,99,0,0,0,query_dense_4_48,dblp
0,342,3903,8,327,4004,802,1058,4670,165,50,411,571,786,0,query_sparse_24_24,dblp
0,210,1148,152,113,1158,129,133,0,408,32,206,1320,406,942,query_dense_32_115,dblp
0,158,1674,84,64,1728,140,98,0,292,42,255,1171,557,502,query_dense_24_166,dblp
0,373,93,29,27,94,524,28,0,607,57,94,0,0,45,query_sparse_8_145,dblp
0,1321,4107,20,450,4236,2860,1140,5318,733,114,886,834,415,0,query_sparse_32_90,dblp
0,314,429,14,94,432,315,103,0,644,17,431,323,270,48,query_sparse_8_95,dblp
0,214,1329,106,95,1365,66,38,0,259,151,733,763,855,220,query_dense_32_139,dblp
0,532,256,116,32,261,0,0,0,1514,118,256,0,0,705,query_dense_24_95,dblp
0,283,2474,22,175,2553,331,65,0,365,37,506,667,499,46,query_sparse_16_195,dblp
0,215,1770,26,150,1833,474,294,0,153,77,185,1279,462,0,query_sparse_16_49,dblp
0,0,0,41,0,0,0,0,0,0,0,0,0,0,96,query_dense_4_106,dblp
0,0,0,23,0,0,0,0,0,0,0,0,0,0,77,query_dense_4_125,dblp
0,170,733,66,5,732,133,41,0,243,53,431,648,101,246,query_dense_16_110,dblp
0,390,1522,200,279,1570,285,18,0,1151,177,409,1444,351,1167,query_dense_32_173,dblp
0,353,3875,19,184,3977,499,470,1061,407,58,421,1143,786,7,query_sparse_24_26,dblp
0,430,3353,37,108,3163,961,965,4134,234,45,261,2065,1735,0,query_sparse_24_58,dblp
0,920,5488,9,559,5638,1691,954,3142,1053,7,444,490,683,15,query_sparse_32_142,dblp
0,119,322,7,47,323,491,232,0,43,4,199,580,288,37,query_sparse_8_30,dblp
0,136,124,35,94,125,294,124,0,254,27,122,583,256,133,query_dense_8_172,dblp
0,312,2093,14,227,2147,884,627,3083,121,81,527,535,646,0,query_sparse_16_100,dblp
0,452,3224,28,141,3294,1017,999,5840,313,63,647,1037,937,0,query_sparse_24_45,dblp
0,250,1108,44,97,1150,0,0,0,687,10,69,0,0,329,query_dense_16_43,dblp
0,347,2822,142,175,2918,162,99,0,592,71,561,1167,349,775,query_dense_32_9,dblp
0,73,425,22,35,427,0,0,0,133,20,204,235,391,63,query_dense_8_60,dblp
0,553,1059,25,105,1075,1150,273,0,544,62,567,1267,1305,0,query_sparse_16_29,dblp
0,0,0,20,0,0,0,0,0,0,0,0,0,0,54,query_dense_4_42,dblp
0,332,3696,18,140,3284,486,81,2905,358,20,65,607,322,52,query_sparse_16_188,dblp
0,346,3780,44,116,3851,902,482,0,317,58,580,582,457,86,query_sparse_24_72,dblp
0,66,725,28,34,755,18,15,0,100,11,186,349,78,192,query_dense_16_147,dblp
0,237,2924,190,140,2987,180,326,0,327,51,556,1401,757,872,query_dense_32_74,dblp
0,263,3122,55,116,3193,408,310,0,179,76,556,1330,639,134,query_dense_24_153,dblp
0,184,392,28,48,283,451,212,0,238,52,118,1080,705,0,query_sparse_8_149,dblp
0,0,0,31,0,0,0,0,0,0,0,0,0,0,80,query_dense_4_72,dblp
0,71,154,102,10,159,117,67,0,100,63,76,539,231,457,query_dense_16_192,dblp
0,256,552,13,73,563,413,84,0,334,15,199,562,697,0,query_sparse_8_176,dblp
0,218,2519,7,132,2564,516,800,4513,140,46,726,147,150,0,query_sparse_16_24,dblp
0,787,1227,247,211,1285,381,186,3699,1918,88,250,916,457,1448,query_dense_32_96,dblp
