Data,Pattern,Algorithm,Load and preprocess time,Filtering time,Ordering time,Enumeration time,Total time,#Embeddings
human,query_dense_4_77,GraphQL,0.04715065,0.00038164,1.484e-05,0.07389236,0.12143949000000001,1629354
human,query_sparse_8_128,TurboISO,0.03718988,0.00021013,2.196e-05,0.06886434,0.10628631,1156428
human,query_dense_8_184,GraphQL,0.03141451,0.00016822,1.543e-05,0.46448812,0.49608628,14099904
human,query_dense_16_46,VF2++,0.02017072,6.643e-05,4.418e-05,2.58408369,2.60436502,22339584
human,query_sparse_8_69,TurboISO,0.02937242,0.00013638,2.266e-05,7.70617261,7.735704070000001,1363991040
human,query_sparse_8_167,VF2++,0.04042378,3.622e-05,3.706e-05,430.81197975,430.85247681,66946055320
human,query_sparse_8_14,ORBIT,0.01929036,0.00160943,2.33e-05,173.89636005,173.91728314,28882365312
human,query_dense_4_98,DPiso,0.04236929,0.00031133,5.101e-05,0.18501778,0.22774940999999999,1952660
human,query_dense_8_144,DPiso,0.03510086,0.00083466,1.536e-05,13.10973928,13.14569016,414345456
human,query_dense_4_11,VF2++,0.0268163,5.545e-05,3.616e-05,0.00423073,0.031138640000000002,74033
human,query_dense_16_165,DPiso,0.03215115,0.00027697,1.579e-05,0.58435641,0.6168003200000001,1598400
human,query_sparse_20_96,ORBIT,0.03828426,0.00168718,5.374e-05,9.31e-06,0.04003448999999999,0
human,query_sparse_8_77,TurboISO,0.03849346,0.00019518,2.284e-05,975.62327217,975.6619836499999,182534345520
human,query_sparse_8_16,VF2++,0.03007556,5.359e-05,3.779e-05,0.00263238,0.03279932,246240
human,query_sparse_8_90,VF2++,0.04081885,3.354e-05,3.857e-05,1370.59864335,1370.63953431,59364565344
human,query_dense_8_198,TurboISO,0.03111785,6.013e-05,2.118e-05,0.01217775,0.04337691,274848
human,query_dense_4_106,ORBIT,0.02778353,0.00170778,1.992e-05,0.01158896,0.04110019,1056980
human,query_sparse_8_72,VF2++,0.02798923,4.771e-05,3.588e-05,0.00521695,0.033289769999999996,341760
human,query_dense_4_6,ORBIT,0.03191869,0.00150587,2.005e-05,0.04691881,0.08036341999999999,4384150
human,query_sparse_8_154,ORBIT,0.02963643,0.00164733,2.371e-05,506.32051579,506.35182326,86320659221
human,query_sparse_8_67,GraphQL,0.03146731,0.00024172,1.637e-05,46.98539159,47.01711699,2463834624
human,query_dense_8_116,TurboISO,0.0191731,0.00024868,2.142e-05,0.93224247,0.95168567,12945468
human,query_dense_16_68,VF2++,0.02887502,0.00012085,4.978e-05,1.96983602,1.99888167,70156800
human,query_dense_4_188,ORBIT,0.03364165,0.00181289,1.848e-05,0.05751315,0.09298617,6026368
